       Junior Executive Attitude Data (Question: 4.6)
------------------------------------------------------------
Observation  X1  X2  X3  X4  X5  X6  X7  X8  X9  X10 X11 X12
------------------------------------------------------------
1             5   2   1   5   2   4   2   3   5   5   4   2
2             3   1   1   2   4   2   1   2   2   4   5   4
3             2   2   2   3   3   3   1   1   2   4   5   2
4             5   4   4   4   1   5   5   5   4   1   1   1
5             1   1   2   5   1   5   2   1   5   5   4   1
6             2   5   5   1   5   1   4   5   2   2   2   5
7             4   5   5   5   1   4   4   5   5   1   1   1
8             3   1   1   3   4   3   1   2   3   4   5   3
9             1   3   3   4   2   5   3   3   5   4   3   2
10            5   5   4   1   4   2   5   5   1   1   2   5
11            1   4   5   4   1   5   4   4   5   2   1   1
12            1   2   2   5   1   4   4   4   5   3   3   1
13            4   3   4   5   2   5   3   3   4   3   2   2
14            5   2   2   2   5   2   1   1   2   5   4   5
15            5   4   3   4   2   4   4   4   5   4   1   1
16            3   5   4   1   4   1   5   5   1   1   5   5
17            2   5   5   3   2   2   4   4   3   1   3   3
18            1   4   5   2   5   1   5   5   1   2   4   5
19            3   3   3   2   5   2   3   3   2   3   5   4
------------------------------------------------------------

